"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr14:72041770-72042170" 330 200 317 399 415 414 272 242 114 118 162 138 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:72059086-72059486" 100 42 80 93 130 104 30 64 21 20 20 24 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:72168710-72169110" 371 205 247 301 418 352 952 1002 517 551 584 766 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:72221193-72221593" 5963 5031 5739 7094 7098 5912 9615 10437 4833 4971 3082 10246 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:75354944-75355344" 65 11 30 25 87 57 25 5 8 12 4 22 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:75663217-75663617" 4797 3840 4687 5625 5703 4778 3765 3979 2691 1899 1239 3109 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:76267156-76267556" 319 176 281 304 372 314 151 137 76 94 62 140 "d0_noncoding" "Neg" "Neg_1"
"chr14:76529693-76530093" 1874 1027 1480 1716 2385 1994 1460 1373 620 655 607 983 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:77239196-77239596" 282 166 247 340 372 295 53 47 56 55 38 158 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:77444386-77444786" 1680 1355 1484 1788 1808 1613 335 422 254 198 156 404 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:77460119-77460519" 979 1323 1205 1325 1405 1057 1892 2290 1263 1074 780 1807 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:77804602-77805002" 764 453 560 742 895 694 1743 2019 989 983 937 1532 "d0_noncoding" "Neg" "Neg_1"
"chr14:78119800-78120200" 241 92 168 190 239 208 2 11 0 8 24 1 "d0_noncoding" "Neg" "Neg_1"
"chr14:78270924-78271324" 190 103 123 183 197 161 276 245 126 98 103 133 "d0_noncoding" "Neg" "Neg_1"
"chr14:78496099-78496499" 89 24 55 51 99 70 126 85 72 43 20 82 "d0_noncoding" "Neg" "Neg_1"
"chr14:81768955-81769355" 3917 3434 3896 5025 4949 4309 3509 3693 2400 1880 2162 2584 "d0_noncoding" "Neg" "Neg_1"
"chr14:82285680-82286080" 535 277 313 412 458 520 1173 1234 627 644 717 823 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:82422158-82422558" 531 384 481 651 594 555 542 592 319 267 290 437 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:82447278-82447678" 499 544 539 660 746 578 348 292 161 149 170 220 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:82690937-82691337" 948 658 828 956 1016 1018 408 367 221 173 207 293 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:82705552-82705952" 57 22 46 60 56 85 364 242 144 117 102 193 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:82886280-82886680" 9659 10430 10306 12210 11776 10597 17099 18431 8903 8723 7236 13259 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:83321139-83321539" 3590 3066 3498 4674 4659 4190 3460 3525 1686 1807 2010 3912 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:83472527-83472927" 1015 544 808 1034 1262 988 1053 1355 660 583 670 1085 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:86038426-86038826" 329 134 208 263 284 267 175 104 79 80 77 128 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:86197461-86197861" 197 251 271 307 323 279 37 44 34 10 14 41 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:86250741-86251141" 68 49 33 62 69 65 144 203 126 143 93 156 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:90625505-90625905" 3135 2314 2706 3501 3889 3257 1770 1968 1023 856 795 1358 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:91769784-91770184" 39 31 36 33 72 75 51 69 44 42 4 99 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr14:91849701-91850101" 958 531 790 851 1175 1023 432 348 243 217 171 387 "d0_noncoding" "Neg" "Neg_1"
"chr14:91863779-91864179" 7977 8460 7995 9866 9521 7723 9956 9617 6301 7429 4495 12270 "d0_noncoding" "Neg" "Neg_1"
"chr14:92639995-92640395" 2389 1736 2118 2479 3128 2554 849 1064 625 483 396 925 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:93175096-93175496" 653 235 373 552 826 654 385 300 262 198 192 542 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:93191323-93191723" 2056 2040 2099 2441 2540 2284 934 1027 526 579 410 836 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:93347168-93347568" 1160 531 854 1101 1557 1190 965 890 578 496 353 1058 "d0_noncoding" "Neg" "Neg_1"
"chr14:94532392-94532792" 1948 1480 1931 2277 2548 2193 4777 4399 2477 2155 1797 4627 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:96928240-96928640" 913 453 667 860 985 941 559 589 370 297 278 678 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:96935091-96935491" 28 12 16 22 54 32 89 56 55 42 35 81 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:100208793-100209193" 303 208 251 367 380 360 420 465 344 221 276 225 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:101689468-101689868" 4516 3198 4147 4848 6090 4834 10906 12144 5098 4574 3815 8442 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:52088128-52088528" 2499 2226 2329 2863 3133 2788 1628 1800 920 941 758 1203 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:52126645-52127045" 73 10 25 36 82 63 63 33 24 47 41 83 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:52155339-52155739" 99 47 51 94 134 101 156 88 66 50 66 82 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:52250769-52251169" 12482 11197 12587 15199 15173 13098 9150 9603 4076 4043 2357 6044 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:22980310-22980710" 1763 1257 1499 1925 1985 1767 1003 1177 606 467 368 851 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:22999512-22999912" 237 156 189 209 292 215 108 118 50 45 28 78 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:24155194-24155594" 521 444 475 590 513 451 559 646 317 200 227 301 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:25169381-25169781" 283 220 263 291 367 277 484 651 299 206 245 403 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:25842116-25842516" 6034 5528 6582 7562 8226 6621 6464 6685 3699 3640 3167 7787 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:25878944-25879344" 2878 2230 2463 3191 3584 3020 1578 1784 930 807 1028 1597 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:26936418-26936818" 260 61 129 198 305 250 118 118 88 73 87 111 "d0_noncoding" "Neg" "Neg_1"
"chr15:27012392-27012792" 224 103 181 235 240 223 339 290 154 144 111 206 "d0_noncoding" "Neg" "Neg_1"
"chr15:28527085-28527485" 2288 2097 2424 2966 2941 2595 635 758 385 354 250 619 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:28539623-28540023" 637 723 728 745 716 642 502 518 280 235 261 458 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:29227530-29227930" 6550 4450 5954 7117 7699 6535 2813 2710 1658 1489 877 3439 "d0_noncoding" "Neg" "Neg_1"
"chr15:29394383-29394783" 449 440 457 518 492 509 158 160 78 76 81 209 "d0_noncoding" "Neg" "Neg_1"
"chr15:29990548-29990948" 17640 21398 21258 24628 21841 19148 6627 8437 3746 3431 3813 5514 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:30028795-30029195" 643 341 498 623 699 579 387 345 255 188 273 201 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:30051711-30052111" 79 70 62 88 141 98 188 231 135 101 165 120 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:30133105-30133505" 2971 2664 2964 3595 3554 3360 11773 12100 7663 7548 6710 11045 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:30162748-30163148" 1450 760 1115 1402 1643 1419 1520 1178 760 746 848 1192 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:35105131-35105531" 11061 8380 10891 12212 14629 12065 14074 14506 7248 6813 5826 12350 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:35129415-35129815" 167 142 208 266 248 251 57 79 38 37 43 51 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:37234037-37234437" 53 21 42 68 76 84 25 51 36 23 14 18 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:37269845-37270245" 669 263 453 575 828 695 927 901 557 447 612 763 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:37312070-37312470" 342 195 303 316 396 391 643 838 337 288 363 676 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:37327563-37327963" 3822 2716 3329 4175 4156 3696 8731 9498 5235 4982 4752 6935 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:37423834-37424234" 134 43 71 84 129 133 171 126 85 72 82 98 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:37539078-37539478" 237 131 183 205 331 306 110 132 61 72 68 115 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:39731367-39731767" 1206 672 947 1270 1684 1403 789 864 373 304 321 545 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:39959524-39959924" 2610 1969 2319 2925 3231 2964 1401 1631 759 738 1002 1169 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:40429170-40429570" 2059 2032 2295 2718 2716 2239 5572 5575 3089 3226 3178 5106 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:41251871-41252271" 3331 2548 3392 3803 4138 3634 1149 1254 740 710 397 1108 "d0_noncoding" "Neg" "Neg_1"
"chr15:42236464-42236864" 411 447 437 503 606 479 399 459 234 229 282 259 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:42249517-42249917" 207 69 136 118 180 190 172 202 111 170 166 226 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:54422838-54423238" 1709 1398 1475 1960 2000 1704 1561 1813 556 545 641 983 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:45340971-45341371" 1792 918 1431 1793 2203 1729 812 931 529 498 372 887 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:45507637-45508037" 1772 1001 1315 1572 1973 1665 3018 3464 1541 1513 1402 3391 "d0_noncoding" "Neg" "Neg_1"
"chr15:46733848-46734248" 100 33 64 64 137 100 44 30 28 30 24 41 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:46868786-46869186" 660 254 452 510 709 554 448 502 221 187 190 283 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:54712031-54712431" 380 326 367 558 511 485 872 1022 561 651 561 1450 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47253963-47254363" 301 88 138 285 261 269 136 92 66 60 74 108 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47295773-47296173" 750 426 581 716 832 831 396 480 242 219 156 378 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47518758-47519158" 83 49 58 84 75 107 87 98 50 36 49 71 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47624389-47624789" 2414 2368 2506 3100 3093 2722 1886 1957 971 838 966 1201 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47632159-47632559" 135 77 120 145 186 152 66 57 30 22 28 34 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47676525-47676925" 2533 1561 2147 2626 3146 2728 2296 1998 1004 863 1068 1746 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47901985-47902385" 8084 6096 7445 9313 9909 8333 5377 6245 3024 2694 2330 4084 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:47965773-47966173" 898 746 726 898 1050 888 820 811 502 448 381 682 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:48028289-48028689" 78 22 43 47 82 70 46 37 37 19 21 33 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:48034516-48034916" 12468 13634 13838 15887 15975 13023 31369 36592 16617 18511 16200 34011 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:48036055-48036455" 1044 579 773 984 1107 1000 1254 1318 716 610 909 1010 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:48042590-48042990" 4553 4354 4975 5928 6222 5366 7738 8802 4183 4238 4271 6839 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:48044358-48044758" 328 182 243 337 356 285 64 53 34 14 21 26 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:48104601-48105001" 7980 5668 7311 8603 9685 8254 24111 25528 12113 10881 10858 17702 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:48298293-48298693" 1065 1074 1164 1326 1509 1314 2019 2331 1144 1065 974 1609 "d0_noncoding" "Neg" "Neg_1"
"chr15:50865356-50865756" 1082 935 1070 1362 1356 1200 396 408 175 167 165 255 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:50969202-50969602" 663 621 533 855 885 668 467 589 236 160 196 248 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:51132703-51133103" 2002 1490 1830 2007 2176 2027 861 945 411 415 333 843 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr15:52135110-52135510" 1113 946 1099 1370 1491 1301 612 716 438 420 414 486 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:52738100-52738500" 291 153 256 352 441 347 401 284 221 224 78 689 "d0_noncoding" "Neg" "Neg_1"
"chr15:52758654-52759054" 7978 8180 8414 9889 9734 8007 4134 4496 2501 2441 1697 3682 "d0_noncoding" "Neg" "Neg_1"
"chr1:55326615-55327015" 486 94 196 294 488 443 156 114 69 48 68 132 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:53917521-53917921" 148 79 141 157 219 169 294 261 127 108 127 97 "d0_noncoding" "Neg" "Neg_1"
"chr15:55640477-55640877" 1318 1034 1239 1620 1786 1540 1263 1252 801 821 552 1263 "d0_noncoding" "Neg" "Neg_1"
"chr15:56165199-56165599" 81 14 39 49 70 85 25 6 25 16 22 25 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:56334732-56335132" 1055 1074 993 1169 1205 999 463 533 277 224 239 315 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:57410135-57410535" 75 29 57 72 80 50 65 84 19 21 42 32 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:57687506-57687906" 2691 2355 2578 3158 3304 2989 1718 2070 956 826 992 1431 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:57695819-57696219" 448 319 391 497 594 640 1047 1031 612 494 554 1069 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:57713754-57714154" 1791 1280 1467 1808 2091 1780 2776 2914 1829 1842 2019 2835 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:57732988-57733388" 569 256 350 490 730 620 324 308 191 158 204 197 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:58820217-58820617" 714 295 432 544 608 607 184 244 141 84 119 224 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:58841295-58841695" 620 375 496 657 802 630 1482 1289 693 798 711 1386 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:58882477-58882877" 599 476 553 672 778 689 344 322 205 205 197 229 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:58904324-58904724" 2793 2800 2876 3555 3241 3255 1984 2308 1102 1172 1061 2024 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:59023934-59024334" 1468 1069 1446 1726 2014 1574 897 800 502 402 395 673 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:59125798-59126198" 186 203 249 213 182 186 359 532 257 268 262 490 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:60420874-60421274" 1008 917 958 1262 1101 1045 456 527 329 229 216 296 "d0_noncoding" "Neg" "Neg_1"
"chr15:63058209-63058609" 96 77 103 102 122 110 61 52 28 52 26 41 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:63082808-63083208" 810 554 660 825 979 890 1594 1582 812 784 728 1195 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:63268520-63268920" 405 195 353 416 521 469 294 320 126 103 112 168 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:63298454-63298854" 7675 8343 8159 9849 9751 8409 3649 4439 2270 2255 2072 3092 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:63306784-63307184" 1270 1328 1281 1667 1775 1635 1671 1453 974 905 340 1845 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:64149678-64150078" 3964 3693 3735 4652 4578 3885 9605 11228 5011 5246 5733 8345 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:64799491-64799891" 278 134 198 278 336 231 57 50 25 19 16 66 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:64873577-64873977" 268 107 174 298 371 264 258 180 114 104 90 149 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:65155338-65155738" 2979 1973 2348 2851 3572 3003 469 510 286 316 211 401 "d0_noncoding" "Neg" "Neg_1"
"chr15:65158346-65158746" 768 413 654 827 983 698 343 334 169 135 113 260 "d0_noncoding" "Neg" "Neg_1"
"chr15:65186845-65187245" 45 28 53 46 73 51 2 2 2 0 0 1 "d0_noncoding" "Neg" "Neg_1"
"chr15:66195659-66196059" 2296 2410 2291 2787 3140 2612 2497 2629 1396 1537 1845 1997 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:67175732-67176132" 3868 1801 2769 3574 4827 3865 5609 5890 2569 2073 1136 4284 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:67341010-67341410" 1590 1072 1439 1757 1999 1603 858 927 573 406 383 826 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:67383468-67383868" 3643 3135 3799 4357 4619 3768 2741 3330 1628 1542 1229 2346 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:67397599-67397999" 626 469 574 623 668 651 148 177 72 96 64 86 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:67470921-67471321" 3724 3228 3800 4330 4284 3962 3605 4341 1682 1804 1012 2233 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:68233973-68234373" 128 32 69 66 133 93 9 13 8 19 5 29 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70447306-70447706" 2645 2108 2592 2812 3462 3033 5126 5609 3020 2710 3082 5122 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70463883-70464283" 4278 1650 2895 3750 5517 4480 6796 5641 3989 3320 4028 7591 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70563755-70564155" 219 191 236 287 321 211 632 924 345 400 382 646 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70582024-70582424" 2327 2439 2645 3125 3166 2664 2073 2007 1005 956 772 1452 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70629630-70630030" 447 341 387 458 535 503 230 391 184 161 184 285 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70654725-70655125" 4456 3361 4095 4684 5183 4714 1190 1461 753 821 620 1395 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70725446-70725846" 1707 627 965 1286 1946 1573 1006 939 621 458 469 1014 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70759251-70759651" 8709 4726 7304 8763 11638 9054 8095 8099 4543 3808 2383 7916 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70787179-70787579" 1021 397 785 926 1472 1023 1873 1905 905 702 579 1501 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70909379-70909779" 293 351 409 456 436 443 97 172 128 69 82 98 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70909882-70910282" 463 140 205 279 464 387 370 259 212 192 188 403 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:70962331-70962731" 410 222 339 357 497 448 217 143 183 100 119 268 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:71019094-71019494" 85 48 57 62 108 92 45 39 17 17 18 62 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:73260136-73260536" 1925 1246 1640 1931 2015 1887 949 1241 633 549 466 838 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:73418055-73418455" 196 130 148 173 183 172 101 75 47 34 54 49 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:73893684-73894084" 530 254 394 528 693 584 816 825 422 369 434 620 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:74078934-74079334" 8616 3099 5330 6445 10444 7885 5270 4374 2796 2441 1291 6298 "d0_noncoding" "Neg" "Neg_1"
"chr15:75884327-75884727" 5283 5479 5492 6654 6182 5829 2777 3663 1431 1296 1177 2007 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:79194970-79195370" 1014 1275 1236 1483 1468 1288 976 1021 619 495 449 915 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:80828510-80828910" 1482 829 1162 1532 1723 1411 2247 2372 1300 1307 1266 2450 "d0_noncoding" "Neg" "Neg_1"
"chr15:85878762-85879162" 1679 841 1235 1536 2014 1704 2734 2881 1488 1250 1544 2328 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:85889940-85890340" 1451 966 1109 1412 1631 1276 1407 1414 793 721 853 1070 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:85956667-85957067" 444 236 308 405 439 366 191 195 74 87 84 200 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:85986974-85987374" 468 164 293 410 582 535 447 306 276 256 319 485 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:86251828-86252228" 1251 858 1062 1422 1509 1353 1285 1445 1058 911 1049 1733 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:86441557-86441957" 299 155 249 298 433 382 1034 919 556 516 531 876 "d0_noncoding" "Neg" "Neg_1"
"chr1:58920072-58920472" 1987 1412 1708 2061 2491 1901 1249 1311 670 713 672 1461 "d0_noncoding" "Neg" "Neg_1"
"chr15:89531136-89531536" 379 281 345 323 468 328 94 160 82 54 48 131 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:90578697-90579097" 4900 3421 4408 5342 6574 5203 1814 1911 961 811 716 1784 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:90830339-90830739" 745 251 465 631 922 778 310 339 192 165 136 319 "d0_noncoding" "Neg" "Neg_1"
"chr15:91379536-91379936" 414 83 214 295 415 394 615 569 383 439 463 849 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:91388370-91388770" 2109 1212 1696 2338 2987 2483 1178 1217 634 519 419 1054 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:59239070-59239470" 3813 2165 3126 3786 4977 3863 3194 2915 1486 1357 1377 2307 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:93254501-93254901" 1112 874 1192 1250 874 1544 69 39 14 53 123 52 "d0_noncoding" "Neg" "Neg_1"
"chr15:93474051-93474451" 2541 1469 2035 2520 2913 2480 2376 2491 1400 1204 1381 1956 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:93652574-93652974" 5000 3865 4741 5797 6006 5007 4689 5258 2155 2000 1044 3388 "d0_noncoding" "Neg" "Neg_1"
"chr15:94020423-94020823" 2004 1961 2235 2392 2402 2057 2054 1995 1146 1116 940 1815 "d0_noncoding" "Neg" "Neg_1"
"chr15:96454826-96455226" 340 122 170 223 377 317 354 281 197 157 182 266 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr15:96666221-96666621" 727 243 375 517 709 721 1127 852 593 548 964 1566 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
